2021-02-09 09:52:24,989 baseline INFO: Running with config:
baseline
2021-02-09 09:52:32,690 baseline.train INFO: start training
2021-02-09 13:54:52,992 baseline.train INFO: Epoch[2] Iteration[2450/3385] Loss: 0.223, Acc: 0.906, Base Lr: 7.28e-05
2021-02-09 13:56:49,801 baseline.train INFO: Epoch[2] Iteration[2500/3385] Loss: 0.223, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 13:58:45,364 baseline.train INFO: Epoch[2] Iteration[2550/3385] Loss: 0.223, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 14:00:37,445 baseline.train INFO: Epoch[2] Iteration[2600/3385] Loss: 0.223, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 14:02:28,098 baseline.train INFO: Epoch[2] Iteration[2650/3385] Loss: 0.223, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 14:04:25,772 baseline.train INFO: Epoch[2] Iteration[2700/3385] Loss: 0.224, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 14:06:17,969 baseline.train INFO: Epoch[2] Iteration[2750/3385] Loss: 0.224, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 14:08:09,193 baseline.train INFO: Epoch[2] Iteration[2800/3385] Loss: 0.223, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 14:10:06,185 baseline.train INFO: Epoch[2] Iteration[2850/3385] Loss: 0.223, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 14:12:01,942 baseline.train INFO: Epoch[2] Iteration[2900/3385] Loss: 0.224, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 14:13:57,101 baseline.train INFO: Epoch[2] Iteration[2950/3385] Loss: 0.223, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 14:15:49,564 baseline.train INFO: Epoch[2] Iteration[3000/3385] Loss: 0.223, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 14:17:40,980 baseline.train INFO: Epoch[2] Iteration[3050/3385] Loss: 0.223, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 14:19:34,668 baseline.train INFO: Epoch[2] Iteration[3100/3385] Loss: 0.223, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 14:21:25,336 baseline.train INFO: Epoch[2] Iteration[3150/3385] Loss: 0.223, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 14:23:14,834 baseline.train INFO: Epoch[2] Iteration[3200/3385] Loss: 0.223, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 14:25:08,910 baseline.train INFO: Epoch[2] Iteration[3250/3385] Loss: 0.223, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 14:26:56,196 baseline.train INFO: Epoch[2] Iteration[3300/3385] Loss: 0.223, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 14:28:47,412 baseline.train INFO: Epoch[2] Iteration[3350/3385] Loss: 0.223, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 14:30:06,077 baseline.train INFO: Epoch 2 done. Time per batch: 2.271[s] Speed: 3.5[samples/s]
2021-02-09 14:31:52,781 baseline.train INFO: Epoch[3] Iteration[50/3385] Loss: 0.212, Acc: 0.915, Base Lr: 1.07e-04
2021-02-09 14:33:40,975 baseline.train INFO: Epoch[3] Iteration[100/3385] Loss: 0.211, Acc: 0.912, Base Lr: 1.07e-04
2021-02-09 14:35:35,916 baseline.train INFO: Epoch[3] Iteration[150/3385] Loss: 0.212, Acc: 0.912, Base Lr: 1.07e-04
2021-02-09 14:37:32,635 baseline.train INFO: Epoch[3] Iteration[200/3385] Loss: 0.217, Acc: 0.908, Base Lr: 1.07e-04
2021-02-09 14:39:27,540 baseline.train INFO: Epoch[3] Iteration[250/3385] Loss: 0.219, Acc: 0.908, Base Lr: 1.07e-04
2021-02-09 14:41:14,172 baseline.train INFO: Epoch[3] Iteration[300/3385] Loss: 0.219, Acc: 0.907, Base Lr: 1.07e-04
2021-02-09 14:43:04,187 baseline.train INFO: Epoch[3] Iteration[350/3385] Loss: 0.219, Acc: 0.907, Base Lr: 1.07e-04
2021-02-09 14:44:49,694 baseline.train INFO: Epoch[3] Iteration[400/3385] Loss: 0.221, Acc: 0.907, Base Lr: 1.07e-04
2021-02-09 14:46:39,065 baseline.train INFO: Epoch[3] Iteration[450/3385] Loss: 0.220, Acc: 0.907, Base Lr: 1.07e-04
2021-02-09 14:48:32,223 baseline.train INFO: Epoch[3] Iteration[500/3385] Loss: 0.220, Acc: 0.907, Base Lr: 1.07e-04
2021-02-09 14:50:17,847 baseline.train INFO: Epoch[3] Iteration[550/3385] Loss: 0.221, Acc: 0.906, Base Lr: 1.07e-04
2021-02-09 14:52:04,269 baseline.train INFO: Epoch[3] Iteration[600/3385] Loss: 0.222, Acc: 0.906, Base Lr: 1.07e-04
2021-02-09 14:53:52,062 baseline.train INFO: Epoch[3] Iteration[650/3385] Loss: 0.222, Acc: 0.905, Base Lr: 1.07e-04
2021-02-09 14:55:40,746 baseline.train INFO: Epoch[3] Iteration[700/3385] Loss: 0.222, Acc: 0.906, Base Lr: 1.07e-04
2021-02-09 14:57:27,895 baseline.train INFO: Epoch[3] Iteration[750/3385] Loss: 0.221, Acc: 0.906, Base Lr: 1.07e-04
2021-02-09 14:59:20,416 baseline.train INFO: Epoch[3] Iteration[800/3385] Loss: 0.220, Acc: 0.907, Base Lr: 1.07e-04
2021-02-09 15:01:13,117 baseline.train INFO: Epoch[3] Iteration[850/3385] Loss: 0.221, Acc: 0.907, Base Lr: 1.07e-04
2021-02-09 15:03:01,371 baseline.train INFO: Epoch[3] Iteration[900/3385] Loss: 0.221, Acc: 0.907, Base Lr: 1.07e-04
